DATE,MABMM301GBM189S
01/07/2015,2.37355E+12
01/08/2015,2.37813E+12
01/09/2015,2.37329E+12
01/10/2015,2.37923E+12
01/11/2015,2.37512E+12
01/12/2015,2.40032E+12
01/01/2016,2.41632E+12
01/02/2016,2.44059E+12
01/03/2016,2.44893E+12
01/04/2016,2.44425E+12
01/05/2016,2.45554E+12
01/06/2016,2.53955E+12
01/07/2016,2.56625E+12
01/08/2016,2.58584E+12
01/09/2016,2.60513E+12
01/10/2016,2.635E+12
01/11/2016,2.62978E+12
01/12/2016,2.63596E+12
01/01/2017,2.65244E+12
01/02/2017,2.68665E+12
01/03/2017,2.71232E+12
01/04/2017,2.72768E+12
01/05/2017,2.72468E+12
01/06/2017,2.73313E+12
01/07/2017,2.73905E+12
01/08/2017,2.77314E+12
01/09/2017,2.78793E+12
01/10/2017,2.80247E+12
01/11/2017,2.80181E+12
01/12/2017,2.80146E+12
01/01/2018,2.82613E+12
01/02/2018,2.82871E+12
01/03/2018,2.79345E+12
01/04/2018,2.79045E+12
01/05/2018,2.82977E+12
01/06/2018,2.82759E+12
01/07/2018,2.82588E+12
01/08/2018,2.8337E+12
01/09/2018,2.85153E+12
01/10/2018,2.8836E+12
01/11/2018,2.88367E+12
01/12/2018,2.90747E+12
01/01/2019,2.8743E+12
01/02/2019,2.8504E+12
01/03/2019,2.85415E+12
01/04/2019,2.86081E+12
01/05/2019,2.86797E+12
01/06/2019,2.8748E+12
01/07/2019,2.88165E+12
01/08/2019,2.89783E+12
01/09/2019,2.88361E+12
01/10/2019,2.86838E+12
01/11/2019,2.88585E+12
01/12/2019,2.89377E+12
01/01/2020,2.90322E+12
01/02/2020,2.93363E+12
01/03/2020,3.09245E+12
01/04/2020,3.11355E+12
01/05/2020,3.15298E+12
01/06/2020,3.18138E+12
01/07/2020,3.19708E+12
01/08/2020,3.18196E+12
01/09/2020,3.20993E+12
01/10/2020,3.19612E+12
01/11/2020,3.20205E+12
01/12/2020,3.26008E+12
01/01/2021,3.26673E+12
01/02/2021,3.28572E+12
01/03/2021,3.31185E+12
01/04/2021,3.33496E+12
01/05/2021,3.3471E+12
01/06/2021,3.37505E+12
01/07/2021,3.36854E+12
01/08/2021,3.39295E+12
01/09/2021,3.45288E+12
01/10/2021,3.44902E+12
01/11/2021,3.48632E+12
01/12/2021,3.49397E+12
01/01/2022,3.47024E+12
01/02/2022,3.52197E+12
01/03/2022,3.55444E+12
01/04/2022,3.55098E+12
01/05/2022,3.53878E+12
01/06/2022,3.56908E+12
01/07/2022,3.56927E+12
01/08/2022,3.59647E+12
01/09/2022,3.70622E+12
01/10/2022,3.64951E+12
01/11/2022,3.60818E+12
01/12/2022,3.59393E+12
