DATE,GBRPPDMMINMEI
01/11/2017,105.4912091
01/12/2017,105.7911841
01/01/2018,105.9911674
01/02/2018,105.9911674
01/03/2018,106.1911507
01/04/2018,106.6911091
01/05/2018,107.5910341
01/06/2018,108.0909924
01/07/2018,107.8910091
01/08/2018,108.2909758
01/09/2018,108.7909341
01/10/2018,109.1909008
01/11/2018,108.9909174
01/12/2018,108.3909674
01/01/2019,108.2909758
01/02/2019,108.4909591
01/03/2019,108.6909424
01/04/2019,109.1909008
01/05/2019,109.6908591
01/06/2019,109.4908758
01/07/2019,109.8908424
01/08/2019,109.7908508
01/09/2019,109.6908591
01/10/2019,109.3908841
01/11/2019,108.9909174
01/12/2019,108.9909174
01/01/2020,109.1909008
01/02/2020,108.9909174
01/03/2020,108.4909591
01/04/2020,107.2910591
01/05/2020,107.1910674
01/06/2020,107.6910257
01/07/2020,107.9910007
01/08/2020,107.8910091
01/09/2020,107.7910174
01/10/2020,107.8910091
01/11/2020,108.2909758
01/12/2020,108.6909424
01/01/2021,109.4908758
01/02/2021,110.1908174
01/03/2021,110.5907841
01/04/2021,111.0907424
01/05/2021,111.8906758
01/06/2021,112.6906091
01/07/2021,113.7905175
01/08/2021,114.5904508
01/09/2021,115.3903841
01/10/2021,117.2902258
01/11/2021,118.3901342
01/12/2021,118.9900842
01/01/2022,120.6899425
01/02/2022,121.9898342
01/03/2022,125.7895175
01/04/2022,129.4892092
01/05/2022,131.7890176
01/06/2022,134.6887759
01/07/2022,136.4886259
01/08/2022,136.4886259
01/09/2022,136.4886259
01/10/2022,137.7885176
01/11/2022,137.688526
01/12/2022,136.4886259
