DATE,GBRSARTMISMEI
01/11/2017,107.6303717
01/12/2017,107.7427207
01/01/2018,106.8439285
01/02/2018,107.2933246
01/03/2018,106.1698343
01/04/2018,107.2933246
01/05/2018,109.5403052
01/06/2018,109.0909091
01/07/2018,110.2143994
01/08/2018,111.0008426
01/09/2018,110.2143994
01/10/2018,109.7650033
01/11/2018,111.1131916
01/12/2018,111.3378897
01/01/2019,111.2255407
01/02/2019,111.3378897
01/03/2019,112.236682
01/04/2019,112.236682
01/05/2019,111.3378897
01/06/2019,112.9107761
01/07/2019,113.8095684
01/08/2019,113.5848703
01/09/2019,113.1354742
01/10/2019,112.5737291
01/11/2019,112.5737291
01/12/2019,111.1131916
01/01/2020,112.9107761
01/02/2020,111.6749368
01/03/2020,107.2933246
01/04/2020,91.56446026
01/05/2020,101.7882221
01/06/2020,114.9330587
01/07/2020,117.9664825
01/08/2020,119.4270199
01/09/2020,120.7752083
01/10/2020,121.6740006
01/11/2020,117.7417845
01/12/2020,119.0899728
01/01/2021,108.9785601
01/02/2021,110.8884936
01/03/2021,114.9330587
01/04/2021,124.5950754
01/05/2021,121.7863496
01/06/2021,122.5727928
01/07/2021,118.8652748
01/08/2021,119.3146709
01/09/2021,118.4158787
01/10/2021,119.539369
01/11/2021,118.7529258
01/12/2021,118.3035296
01/01/2022,117.5170864
01/02/2022,116.5059451
01/03/2022,115.831851
01/04/2022,115.0454077
01/05/2022,114.1466155
01/06/2022,114.2589645
01/07/2022,114.2589645
01/08/2022,112.7984271
01/09/2022,111.0008426
01/10/2022,112.236682
01/11/2022,111.5625878
01/12/2022,109.7650033
