DATE,GBRPROMANMISMEI
01/11/2017,102.432552
01/12/2017,104.2370632
01/01/2018,105.6169836
01/02/2018,105.4046882
01/03/2018,105.086245
01/04/2018,104.8739496
01/05/2018,105.086245
01/06/2018,106.1477222
01/07/2018,105.1923927
01/08/2018,105.1923927
01/09/2018,105.2985405
01/10/2018,103.7063246
01/11/2018,103.7063246
01/12/2018,103.6001769
01/01/2019,105.086245
01/02/2019,106.3600177
01/03/2019,107.5276426
01/04/2019,103.9186201
01/05/2019,104.8739496
01/06/2019,105.6169836
01/07/2019,106.25387
01/08/2019,105.4046882
01/09/2019,106.5723131
01/10/2019,107.8460858
01/11/2019,106.8907563
01/12/2019,107.4214949
01/01/2020,110.3936311
01/02/2020,111.2428129
01/03/2020,103.9186201
01/04/2020,79.29234852
01/05/2020,87.46572313
01/06/2020,100.0973021
01/07/2020,107.4214949
01/08/2020,110.7120743
01/09/2020,113.5780628
01/10/2020,115.1702786
01/11/2020,118.1424149
01/12/2020,117.8239717
01/01/2021,115.1702786
01/02/2021,116.1256081
01/03/2021,117.5055285
01/04/2021,117.6116762
01/05/2021,118.2485626
01/06/2021,117.5055285
01/07/2021,116.9747899
01/08/2021,116.8686422
01/09/2021,116.3379036
01/10/2021,115.4887218
01/11/2021,115.1702786
01/12/2021,115.1702786
01/01/2022,114.3210969
01/02/2022,113.7903582
01/03/2022,113.896506
01/04/2022,113.0473242
01/05/2022,113.4719151
01/06/2022,111.985847
01/07/2022,111.3489606
01/08/2022,110.3936311
01/09/2022,110.3936311
01/10/2022,111.6674038
01/11/2022,111.0305175
01/12/2022,111.1366652
